Fish,hakai_id,Stock 1,Region 1,Prob 1,Stock 2,Region 2,Prob 2,Stock 3,Region 3,Prob 3,Stock 4,Region 4,Prob 4,Stock 5,Region 5,Prob 5
Hakai_P_A12 (15) unkn 147 1107,U1107,Middle,3,0.92,Sandpoint,1,0.02,Porter_Cr,1,0.02,Gluskie,1,0.01,Hudson_Bay,1,0.01
Hakai_P_A12 (15) unkn 147 1136,U1136,Weaver,4,1.00,,,,,,,,,,,,
Hakai_P_A12 (15) unkn 147 1137,U1137,U_Horsefly,3,0.99,Horsefly,3,0.01,L_Horsefly,3,0.00,,,,,,
Hakai_P_A12 (15) unkn 147 1138,U1138,Chilko,3,0.99,L_Adams,4,0.00,Thompson_N,2,0.00,Raft,2,0.00,,,
Hakai_P_A12 (15) unkn 147 1139,U1139,Chilko,3,0.96,U_Horsefly,3,0.02,L_Adams,4,0.01,Horsefly,3,0.01,Middle,3,0.00
Hakai_P_A12 (15) unkn 147 1141,U1141,Gates_Cr,2,1.00,,,,,,,,,,,,
Hakai_P_A12 (15) unkn 147 1142,U1142,Middle,3,0.87,Chilko,3,0.05,Weaver,4,0.03,Kuzkwa_Cr,3,0.02,Stellako,3,0.01
Hakai_P_A12 (15) unkn 147 1143,U1143,Scotch,2,1.00,L_Adams,4,0.00,Chilko,3,0.00,,,,,,
Hakai_P_A12 (15) unkn 149 1317,U1317,Mitchell,3,1.00,,,,,,,,,,,,
Hakai_P_A12 (15) unkn 149 918,U918,Birkenhead,3,1.00,,,,,,,,,,,,
Hakai_P_A12 (15) unkn 149 919,U919,Chilko,3,0.99,L_Adams,4,0.01,,,,,,,,,
Hakai_P_A12 (15) unkn 149 920,U920,Thompson_N,2,0.96,L_Adams,4,0.03,Chilko,3,0.01,Chilko-North,3,0.00,,,
Hakai_P_A12 (15) unkn 149 921,U921,Chilko,3,1.00,Chilko-North,3,0.00,,,,,,,,,
Hakai_P_A12 (15) unkn 149 922,U922,Chilko,3,1.00,Chilko_south,2,0.00,,,,,,,,,
